Epoch, Train Loss, Val Loss, Val Acc, Epoch Time
1, 4.083, 3.668, 0.239, 42.021
2, 3.142, 3.231, 0.307, 42.113
3, 2.711, 2.993, 0.340, 42.214
4, 2.437, 2.842, 0.363, 42.084
5, 2.235, 2.746, 0.381, 42.053
6, 2.076, 2.701, 0.393, 42.072
7, 1.946, 2.656, 0.405, 42.079
8, 1.833, 2.633, 0.413, 42.085
9, 1.738, 2.624, 0.419, 42.077
10, 1.653, 2.620, 0.425, 42.065
11, 1.579, 2.600, 0.425, 42.083
12, 1.511, 2.608, 0.427, 42.238
13, 1.451, 2.591, 0.429, 42.105
14, 1.396, 2.626, 0.431, 42.158
15, 1.347, 2.610, 0.438, 42.682
16, 1.300, 2.658, 0.434, 42.232
17, 1.260, 2.656, 0.437, 42.144
18, 1.220, 2.672, 0.435, 42.114
19, 1.187, 2.697, 0.441, 42.062
20, 1.027, 2.676, 0.450, 42.084
21, 0.972, 2.704, 0.450, 42.165
22, 0.939, 2.735, 0.449, 42.096
23, 0.916, 2.744, 0.450, 42.112
24, 0.891, 2.783, 0.451, 42.072
25, 0.873, 2.798, 0.454, 42.094
26, 0.771, 2.779, 0.463, 42.039
27, 0.735, 2.791, 0.458, 42.079
28, 0.712, 2.830, 0.461, 42.123
29, 0.694, 2.824, 0.465, 42.075
30, 0.679, 2.867, 0.459, 42.170
31, 0.667, 2.898, 0.460, 42.136
32, 0.601, 2.873, 0.464, 42.069
33, 0.576, 2.886, 0.464, 42.063
34, 0.560, 2.923, 0.464, 42.077
35, 0.547, 2.937, 0.465, 42.059
36, 0.536, 2.975, 0.464, 42.108
37, 0.527, 3.005, 0.466, 42.148
38, 0.482, 2.979, 0.466, 42.226
39, 0.466, 3.000, 0.465, 42.162
40, 0.455, 3.003, 0.466, 42.106
41, 0.447, 3.026, 0.465, 42.146
42, 0.439, 3.049, 0.464, 42.092
43, 0.435, 3.067, 0.465, 42.115
44, 0.404, 3.058, 0.465, 42.050
45, 0.393, 3.078, 0.465, 42.101
46, 0.385, 3.098, 0.463, 42.019
47, 0.379, 3.096, 0.462, 42.273
48, 0.374, 3.135, 0.467, 42.248
49, 0.368, 3.115, 0.466, 42.100
50, 0.351, 3.135, 0.468, 42.098
51, 0.344, 3.148, 0.464, 42.047
52, 0.336, 3.162, 0.465, 42.072
53, 0.334, 3.156, 0.467, 42.087
54, 0.329, 3.183, 0.466, 42.040
55, 0.325, 3.184, 0.464, 42.117
56, 0.314, 3.200, 0.468, 42.075
57, 0.308, 3.177, 0.468, 42.098
58, 0.304, 3.183, 0.466, 42.095
59, 0.301, 3.199, 0.468, 42.074
60, 0.298, 3.222, 0.468, 42.194
61, 0.296, 3.219, 0.468, 42.347
62, 0.289, 3.230, 0.467, 42.045
63, 0.284, 3.241, 0.469, 42.009
64, 0.281, 3.237, 0.469, 42.146
65, 0.278, 3.238, 0.469, 42.041
66, 0.278, 3.244, 0.469, 41.982
67, 0.276, 3.251, 0.466, 42.025
68, 0.272, 3.255, 0.468, 42.116
69, 0.268, 3.261, 0.469, 42.056
70, 0.267, 3.271, 0.469, 42.295
71, 0.265, 3.274, 0.468, 42.173
72, 0.263, 3.286, 0.468, 42.005
73, 0.263, 3.274, 0.467, 42.147
74, 0.260, 3.270, 0.470, 42.132
75, 0.258, 3.266, 0.468, 42.059
76, 0.257, 3.272, 0.469, 42.042
77, 0.255, 3.303, 0.468, 41.975
78, 0.255, 3.296, 0.470, 42.030
79, 0.253, 3.300, 0.468, 42.058
80, 0.253, 3.289, 0.469, 42.023
