Phase, Epoch, Train loss, Val loss, Val acc, Epoch time
 1,   1, 0.5015, 0.4597, 0.8561, 11.97
 1,   2, 0.4674, 0.3782, 0.8756, 11.94
 1,   3, 0.4454, 0.3852, 0.8752, 11.94
 1,   4, 0.4200, 0.3982, 0.8743, 11.94
 1,   5, 0.4132, 0.3900, 0.8763, 11.97
 1,   6, 0.4008, 0.3675, 0.8800, 11.96
 1,   7, 0.3949, 0.3506, 0.8838, 11.95
 1,   8, 0.3850, 0.3769, 0.8800, 11.98
 1,   9, 0.3779, 0.3545, 0.8830, 11.98
 1,  10, 0.3670, 0.3514, 0.8839, 11.96
 1,  11, 0.3655, 0.3445, 0.8874, 11.99
 1,  12, 0.3498, 0.3184, 0.8927, 11.99
 1,  13, 0.3415, 0.3060, 0.8974, 11.98
 1,  14, 0.3412, 0.3085, 0.8981, 11.95
 1,  15, 0.3302, 0.3165, 0.8971, 11.98
 1,  16, 0.3318, 0.3275, 0.8925, 11.97
 1,  17, 0.3264, 0.3029, 0.9010, 11.96
 1,  18, 0.3189, 0.3070, 0.9014, 11.95
 1,  19, 0.3148, 0.3426, 0.8920, 11.99
 1,  20, 0.3056, 0.2871, 0.9075, 11.96
 2,   1, 0.2961, 0.2969, 0.9011, 11.96
 2,   2, 0.2872, 0.3007, 0.9062, 11.99
 3,   1, 0.2809, 0.2923, 0.9053, 11.96
 4,   1, 0.2891, 0.2680, 0.9120, 11.95
 5,   1, 0.3078, 0.2803, 0.9122, 12.00
 6,   1, 0.3230, 0.3070, 0.8988, 11.97
 6,   2, 0.2944, 0.2796, 0.9087, 11.98
 7,   1, 0.3285, 0.2936, 0.9034, 11.97
 7,   2, 0.3014, 0.2844, 0.9080, 11.97
 8,   1, 0.3585, 0.3046, 0.8992, 12.03
 8,   2, 0.3164, 0.2844, 0.9036, 12.03
 8,   3, 0.3145, 0.2737, 0.9077, 12.03
 9,   1, 0.3757, 0.3206, 0.8900, 11.98
 9,   2, 0.3377, 0.3090, 0.8957, 11.97
 9,   3, 0.3307, 0.3027, 0.8998, 11.98
 9,   4, 0.3222, 0.2917, 0.9038, 11.98
 9,   5, 0.3180, 0.3006, 0.8982, 11.99
 9,   6, 0.3123, 0.2874, 0.9039, 11.97
 9,   7, 0.3079, 0.2879, 0.9048, 11.96
 9,   8, 0.3050, 0.2862, 0.9043, 11.99
 9,   9, 0.3061, 0.2892, 0.9053, 11.99
10,   1, 0.3585, 0.3047, 0.8967, 11.97
10,   2, 0.3322, 0.2930, 0.9051, 11.98
11,   1, 0.4307, 0.3359, 0.8888, 12.02
11,   2, 0.3790, 0.3295, 0.8895, 11.99
11,   3, 0.3752, 0.3272, 0.8903, 11.99
11,   4, 0.3546, 0.3021, 0.8985, 11.98
11,   5, 0.3540, 0.3007, 0.8971, 11.96
11,   6, 0.3476, 0.3129, 0.8965, 11.96
11,   7, 0.3434, 0.3076, 0.8985, 11.93
11,   8, 0.3469, 0.2953, 0.9011, 11.95
11,   9, 0.3431, 0.2920, 0.9001, 11.94
11,  10, 0.3359, 0.2905, 0.9023, 11.98
11,  11, 0.3380, 0.2966, 0.8979, 11.94
11,  12, 0.3356, 0.2979, 0.9018, 11.95
11,  13, 0.3343, 0.2980, 0.8998, 11.95
11,  14, 0.3318, 0.2930, 0.9005, 11.97
11,  15, 0.3380, 0.3035, 0.8997, 11.96
11,  16, 0.3298, 0.3068, 0.9000, 11.97
11,  17, 0.3321, 0.2997, 0.9021, 11.93
11,  18, 0.3316, 0.3077, 0.8989, 11.95
11,  19, 0.3302, 0.2980, 0.9026, 11.95
11,  20, 0.3275, 0.3060, 0.8998, 11.94
11,  21, 0.3252, 0.3048, 0.8962, 11.90
11,  22, 0.3284, 0.2952, 0.9016, 11.95
11,  23, 0.3266, 0.3010, 0.9033, 11.91
11,  24, 0.3244, 0.3000, 0.9016, 11.96
11,  25, 0.3221, 0.2902, 0.9030, 11.94
11,  26, 0.3241, 0.2904, 0.9018, 11.94
11,  27, 0.3210, 0.3051, 0.9003, 11.93
11,  28, 0.3212, 0.2919, 0.9011, 11.96
11,  29, 0.3242, 0.2931, 0.9036, 11.96
11,  30, 0.3236, 0.2991, 0.9038, 11.96
11,  31, 0.3213, 0.2871, 0.9066, 11.97
12,   1, 0.3674, 0.3075, 0.8955, 11.97
12,   2, 0.3483, 0.3101, 0.8977, 11.97
12,   3, 0.3423, 0.3137, 0.8973, 12.00
12,   4, 0.3396, 0.3135, 0.8965, 11.98
12,   5, 0.3397, 0.3139, 0.8941, 11.98
12,   6, 0.3326, 0.3229, 0.8966, 11.97
12,   7, 0.3345, 0.3110, 0.8975, 12.00
12,   8, 0.3377, 0.3071, 0.8975, 11.99
12,   9, 0.3310, 0.3114, 0.8986, 11.97
12,  10, 0.3321, 0.3188, 0.8943, 11.99
12,  11, 0.3311, 0.3109, 0.8976, 12.01
12,  12, 0.3333, 0.3049, 0.9000, 11.99
12,  13, 0.3312, 0.2981, 0.9022, 12.00
12,  14, 0.3338, 0.3049, 0.8995, 11.96
12,  15, 0.3317, 0.2985, 0.9015, 11.98
12,  16, 0.3247, 0.3188, 0.8996, 11.96
12,  17, 0.3346, 0.3156, 0.8996, 11.98
12,  18, 0.3286, 0.3023, 0.9022, 11.96
12,  19, 0.3264, 0.3052, 0.8978, 11.97
12,  20, 0.3300, 0.3203, 0.8952, 11.99
12,  21, 0.3283, 0.3170, 0.8959, 12.00
12,  22, 0.3244, 0.3121, 0.8997, 12.01
12,  23, 0.3215, 0.3087, 0.9004, 12.01
12,  24, 0.3272, 0.3162, 0.9003, 12.01
12,  25, 0.3282, 0.3147, 0.8995, 12.01
12,  26, 0.3243, 0.3113, 0.8987, 12.01
12,  27, 0.3278, 0.3123, 0.8981, 12.02
12,  28, 0.3272, 0.3084, 0.8970, 12.01
12,  29, 0.3260, 0.3051, 0.9019, 12.02
12,  30, 0.3255, 0.3055, 0.9005, 12.02
12,  31, 0.3264, 0.3023, 0.9013, 11.99
12,  32, 0.3236, 0.3036, 0.9003, 11.99
12,  33, 0.3276, 0.3076, 0.8998, 12.00
12,  34, 0.3248, 0.3131, 0.8986, 12.01
12,  35, 0.3251, 0.3215, 0.8936, 12.01
12,  36, 0.3210, 0.3144, 0.8981, 12.02
12,  37, 0.3267, 0.3112, 0.8988, 12.02
12,  38, 0.3218, 0.3146, 0.8969, 12.00
12,  39, 0.3264, 0.3023, 0.9007, 12.02
12,  40, 0.3189, 0.3045, 0.9009, 12.04
12,  41, 0.3216, 0.3083, 0.8995, 11.99
12,  42, 0.3256, 0.3120, 0.8995, 11.99
12,  43, 0.3202, 0.3156, 0.8993, 12.00
12,  44, 0.3255, 0.3040, 0.8987, 12.03
12,  45, 0.3168, 0.3088, 0.9014, 12.04
12,  46, 0.3213, 0.3110, 0.8972, 12.02
12,  47, 0.3256, 0.3143, 0.8987, 12.00
12,  48, 0.3213, 0.3117, 0.8986, 12.02
12,  49, 0.3208, 0.3094, 0.8991, 11.98
12,  50, 0.3210, 0.3134, 0.8989, 12.01
12,  51, 0.3160, 0.3120, 0.8979, 11.98
12,  52, 0.3206, 0.3124, 0.8974, 12.04
12,  53, 0.3217, 0.3101, 0.8994, 12.03
12,  54, 0.3187, 0.3185, 0.8958, 12.03
12,  55, 0.3224, 0.3149, 0.8975, 12.02
12,  56, 0.3204, 0.3077, 0.8998, 12.03
12,  57, 0.3171, 0.2990, 0.9014, 12.01
12,  58, 0.3212, 0.3087, 0.8971, 11.98
12,  59, 0.3212, 0.3213, 0.8952, 12.00
12,  60, 0.3211, 0.3158, 0.8951, 12.00
12,  61, 0.3194, 0.3090, 0.8994, 12.02
12,  62, 0.3157, 0.3095, 0.8988, 12.01
12,  63, 0.3204, 0.3049, 0.8993, 12.00
12,  64, 0.3147, 0.3140, 0.9001, 11.98
12,  65, 0.3205, 0.3137, 0.8980, 12.00
12,  66, 0.3180, 0.3081, 0.8985, 12.00
12,  67, 0.3191, 0.3144, 0.8963, 12.00
12,  68, 0.3210, 0.3149, 0.8974, 12.02
12,  69, 0.3224, 0.3061, 0.9000, 11.99
12,  70, 0.3131, 0.3075, 0.9013, 11.99
12,  71, 0.3239, 0.3055, 0.9011, 11.99
12,  72, 0.3114, 0.2969, 0.9037, 11.98
12,  73, 0.3184, 0.3129, 0.8988, 11.99
12,  74, 0.3176, 0.3083, 0.8982, 12.00
12,  75, 0.3183, 0.3062, 0.9021, 11.98
12,  76, 0.3192, 0.3020, 0.9041, 12.02
12,  77, 0.3133, 0.3107, 0.9013, 12.00
12,  78, 0.3170, 0.3112, 0.9006, 12.01
12,  79, 0.3144, 0.3067, 0.9023, 12.03
12,  80, 0.3197, 0.3086, 0.9003, 11.99
12,  81, 0.3175, 0.3012, 0.9010, 11.96
12,  82, 0.3175, 0.3017, 0.9044, 11.99
12,  83, 0.3164, 0.3003, 0.9000, 11.98
12,  84, 0.3117, 0.3003, 0.9012, 12.01
12,  85, 0.3150, 0.3018, 0.9011, 12.00
12,  86, 0.3204, 0.3071, 0.9002, 11.98
12,  87, 0.3106, 0.3009, 0.8979, 11.97
12,  88, 0.3173, 0.3079, 0.9018, 11.98
12,  89, 0.3201, 0.3000, 0.9018, 12.01
12,  90, 0.3106, 0.3073, 0.9002, 11.97
12,  91, 0.3115, 0.3096, 0.8989, 11.96
12,  92, 0.3133, 0.3184, 0.8993, 11.98
12,  93, 0.3140, 0.3098, 0.8972, 11.95
12,  94, 0.3163, 0.3064, 0.8995, 11.98
12,  95, 0.3141, 0.3108, 0.8990, 11.97
12,  96, 0.3142, 0.3049, 0.9017, 11.96
12,  97, 0.3136, 0.3101, 0.8987, 11.96
12,  98, 0.3156, 0.3065, 0.9005, 11.98
12,  99, 0.3103, 0.3007, 0.9030, 11.97
12, 100, 0.3149, 0.3168, 0.8998, 11.96
12, 101, 0.3139, 0.3068, 0.9028, 12.00
12, 102, 0.3142, 0.3086, 0.9016, 11.99
12, 103, 0.3124, 0.3022, 0.9017, 11.97
12, 104, 0.3158, 0.3047, 0.9012, 11.96
12, 105, 0.3130, 0.3022, 0.9008, 11.93
12, 106, 0.3155, 0.3157, 0.8989, 11.97
12, 107, 0.3167, 0.3001, 0.9027, 11.98
12, 108, 0.3121, 0.2997, 0.9037, 11.97
12, 109, 0.3101, 0.3048, 0.9021, 11.98
12, 110, 0.3157, 0.3006, 0.9023, 11.98
12, 111, 0.3128, 0.3042, 0.9001, 11.94
12, 112, 0.3096, 0.3111, 0.8999, 11.97
12, 113, 0.3093, 0.3049, 0.9000, 11.96
12, 114, 0.3137, 0.3140, 0.9002, 11.95
12, 115, 0.3123, 0.3044, 0.9024, 11.96
12, 116, 0.3138, 0.3116, 0.8989, 11.97
12, 117, 0.3119, 0.3032, 0.9034, 11.96
12, 118, 0.3108, 0.2999, 0.9049, 11.97
12, 119, 0.3132, 0.3070, 0.9010, 12.02
12, 120, 0.3173, 0.3019, 0.9007, 12.03
12, 121, 0.3126, 0.3000, 0.9007, 12.05
12, 122, 0.3133, 0.3074, 0.9022, 12.03
12, 123, 0.3136, 0.3042, 0.9032, 12.04
12, 124, 0.3133, 0.3136, 0.9011, 12.04
12, 125, 0.3146, 0.2980, 0.9035, 12.03
12, 126, 0.3134, 0.3073, 0.9031, 12.01
12, 127, 0.3127, 0.2962, 0.9048, 12.03
12, 128, 0.3094, 0.3124, 0.9006, 12.03
12, 129, 0.3083, 0.3048, 0.9040, 12.03
12, 130, 0.3142, 0.3087, 0.9002, 12.02
12, 131, 0.3122, 0.3024, 0.8998, 12.02
12, 132, 0.3137, 0.2962, 0.9036, 12.00
12, 133, 0.3114, 0.3006, 0.9002, 12.01
12, 134, 0.3114, 0.3062, 0.9021, 12.00
12, 135, 0.3129, 0.3004, 0.9030, 12.00
12, 136, 0.3083, 0.3096, 0.8997, 12.03
12, 137, 0.3135, 0.3078, 0.8998, 12.02
12, 138, 0.3090, 0.3070, 0.9036, 12.02
12, 139, 0.3116, 0.3005, 0.9019, 12.03
12, 140, 0.3095, 0.3030, 0.9029, 12.02
12, 141, 0.3073, 0.3038, 0.9005, 12.00
12, 142, 0.3129, 0.3051, 0.8983, 12.00
12, 143, 0.3106, 0.2978, 0.9056, 12.02
12, 144, 0.3127, 0.3000, 0.9029, 11.99
12, 145, 0.3075, 0.2950, 0.9039, 12.00
12, 146, 0.3087, 0.2959, 0.9025, 12.00
12, 147, 0.3086, 0.3053, 0.9040, 11.95
12, 148, 0.3092, 0.3140, 0.8992, 11.98
12, 149, 0.3070, 0.3090, 0.8994, 11.98
12, 150, 0.3107, 0.3128, 0.9020, 11.97
